Zeitstempel,1L6lSFiV4xo,3OgsRa7VDtI,8nt3edWLgIg,9TPFLHvn024,B8rmi95pYL0,dYNc3P4jSt4,BhMKmovNjvc,FKxaL8Iau8Q,E0oPnS7rUwE,fTSXvLzNd0o,HqekWfSJCSA,Hj9oB4zpHww,JFQLvbVJVMg,LjAsM1vAhW0,LujWrkYsl64,mjDjbJJlqZ0,QKHkSUiQboA,P2AUat93a8Q,shG0ezBeeJc,PhVP1tNeGyY
13.03.2021 11:19:00,2,1,3,1,3,3,2,3,2,4,2,2,2,2,2,1,1,1,1,3
13.03.2021 11:20:19,2,2,2,3,3,3,2,4,3,2,3,4,4,3,1,4,2,1,3,4
13.03.2021 11:22:46,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,3
13.03.2021 11:23:08,2,1,3,1,4,2,1,2,3,3,1,4,4,1,3,3,1,3,4,1
13.03.2021 11:23:15,2,2,1,2,2,3,2,2,2,2,3,2,2,2,3,2,2,3,2,2
13.03.2021 11:23:30,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2
13.03.2021 11:27:05,1,1,1,2,2,3,4,4,1,1,3,3,4,4,1,4,1,4,3,2
13.03.2021 11:32:44,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2
13.03.2021 11:33:16,3,2,3,2,3,2,2,2,3,2,2,3,3,3,2,3,3,3,2,2
13.03.2021 11:39:25,4,2,2,3,2,3,3,2,3,3,3,2,2,2,2,3,2,1,2,1
13.03.2021 11:40:25,3,2,1,2,3,3,2,1,1,1,2,3,3,2,1,2,1,2,1,2
13.03.2021 11:44:26,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,3
13.03.2021 11:44:51,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3
13.03.2021 11:46:31,4,3,2,2,2,2,4,3,2,2,2,2,2,2,2,2,3,2,3,2
13.03.2021 11:47:23,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3
13.03.2021 11:48:59,2,3,3,4,3,2,4,4,2,2,1,2,2,3,2,4,1,2,2,1
13.03.2021 11:50:25,3,2,3,2,3,3,2,1,3,1,1,2,1,1,3,2,1,2,3,2
13.03.2021 11:53:26,3,3,1,1,2,2,4,1,2,1,2,1,3,2,1,1,3,1,3,4
13.03.2021 11:55:17,2,3,4,3,4,3,3,4,1,1,1,2,2,1,1,2,2,3,1,1
13.03.2021 11:55:38,3,3,2,2,2,1,3,2,2,3,2,3,3,2,3,2,2,2,2,2
13.03.2021 11:57:14,2,2,1,2,2,1,3,2,3,2,2,2,3,2,1,3,1,2,3,1
13.03.2021 12:08:35,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2
13.03.2021 12:16:53,3,3,3,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,1
13.03.2021 12:26:10,2,2,3,2,2,2,3,3,2,3,3,2,3,2,2,2,2,2,2,3
13.03.2021 12:35:40,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13.03.2021 12:39:33,4,3,3,3,3,4,3,3,3,3,3,3,3,4,1,2,3,3,3,3
13.03.2021 17:32:51,4,1,3,3,1,2,1,2,3,3,4,3,1,3,2,3,3,1,2,2
13.03.2021 17:42:55,3,3,4,2,3,2,4,2,4,2,1,1,1,2,3,1,1,3,1,3
13.03.2021 17:58:30,3,2,3,3,3,2,3,1,2,3,3,1,3,3,3,3,4,3,3,3
13.03.2021 18:08:28,3,2,3,3,2,2,4,4,1,2,2,2,3,1,3,2,1,3,1,1
